product_id,product_name,product_group,product_brand,category_id,supplier_id
7334,Red Sweet Potatoes loose,Potatoes,Coles,7,3
7335,Gourmandine Washed Potatoes Prepacked,Potatoes,Coles,7,3
7336,Mayan Gold Brushed Potatoes,Potatoes,Coles,7,3
7337,Organic Sweet Potatoes Prepacked,Potatoes,Coles,7,3
7338,Organic Brushed Potatoes Prepacked,Potatoes,Coles,7,3
7339,Organic Brushed Potatoes Prepacked,Potatoes,Coles,7,3
7340,Washed Potatoes Jolie Chipper,Potatoes,Coles,7,3
7341,Washed Chipping Potatoes,Potatoes,Coles,7,3
7342,Bulk Lamb Cutlets Rr 11x9,Lamb cutlets,Coles,2,0
7343,Lamb Cutlets,Lamb cutlets,Coles,2,0
7344,Lamb Meat Bones,Lamb offal,Coles,2,0
7345,Lamb Fry,Lamb offal,Coles,2,0
7346,Lamb Hearts,Lamb offal,Coles,2,0
7347,Lamb Kidneys,Lamb offal,Coles,2,0
7348,Lamb Shanks 2 pack,Lamb shanks,Coles,2,0
7349,Lamb Boneless Shank Meat,Lamb shanks,Coles,2,0
7350,Rhubarb Bunch,Rhubarbs,Coles,7,3
7351,Free Range Pork Mince,Free range pork,Coles,3,1
7352,Free Range Pork Belly Slices 11X5,Free range pork,Coles,3,1
7353,Free Range Pork Leg Roast Boneless,Free range pork,Coles,3,1
7354,Free Range Pork Loin Chops,Free range pork,Coles,3,1
7355,Free Range Pork Shoulder Roast Boneless,Free range pork,Coles,3,1
7356,Free Range Pork Loin Medallions,Free range pork,Coles,3,1
7357,Free Range Pork Cutlets,Free range pork,Coles,3,1
7358,Free Range Pork Sirloin Steak,Free range pork,Coles,3,1
7359,Free Range Pork Belly Roast Boneless,Free range pork,Coles,3,1
7360,Free Range Pork Fillet,Free range pork,Coles,3,1
7361,Green Zucchini,Tomatoes,Coles,7,3
7362,Greenhouse Truss Tomatoes,Tomatoes,Coles,7,3
7363,Grape Perino Tomatoes Prepacked,Tomatoes,Coles,7,3
7364,Field Tomatoes Loose,Tomatoes,Coles,7,3
7365,Cherry Tomatoes Prepacked,Tomatoes,Coles,7,3
7366,Vine Ripened Tomatoes Prepacked,Tomatoes,Coles,7,3
7367,Roma Tomatoes Loose,Tomatoes,Coles,7,3
7368,Grape Mini Roma Tomatoes,Tomatoes,Coles,7,3
7369,Perino Gold Tomatoes Prepacked,Tomatoes,Coles,7,3
7370,Cocktail Truss Tomatoes,Tomatoes,Coles,7,3
7371,Tiny Tomatoes,Tomatoes,Coles,7,3
7372,Vine Ripened Cherry Tomatoes Prepacked,Tomatoes,Coles,7,3
7373,Gourmet Tomatoes Prepacked,Tomatoes,Coles,7,3
7374,Mix-A-Mato Grape Tomatoes,Tomatoes,Coles,7,3
7375,Organic Snacking Tomatoes,Tomatoes,Coles,7,3
7376,Roma Tomatoes,Tomatoes,Coles,7,3
7377,Cherry Burst Tomatoes Prepacked,Tomatoes,Coles,7,3
7378,Pork Loin Steaks With Smokey BBQ Rub,Pork marinade,Coles,3,1
7379,Pork Kiev With Katsu Sauce,Pork marinade,Coles,3,1
7380,Butterflied Pork Shoulder With Lemon & Herb,Pork marinade,Coles,3,1
7381,Slow Cooked Pork Knuckle,Pork marinade,Coles,3,1
7382,Pork Loin Steaks With Thyme & Black Pepper Butter,Pork marinade,Coles,3,1
7383,Pork Belly Slices With Sweet Soy Glaze,Pork marinade,Coles,3,1
7384,Pork Loin Chops With Garlic & Herb Sprinkle,Pork marinade,Coles,3,1
7385,Pork Loin Roast With Herbs & Spices,Pork marinade,Coles,3,1
7386,Pork Belly With Salt And Pepper,Pork marinade,Coles,3,1
7387,Pork Scotch Steaks With Hoisin,Pork marinade,Coles,3,1
7388,Green Zucchini,Zucchini & squash,Coles,7,3
7389,Yellow Squash loose,Zucchini & squash,Coles,7,3
7390,Organic Green Zucchini Prepacked,Zucchini & squash,Coles,7,3
7391,Tuscan Kale,Zucchini & squash,Coles,7,3
7392,Quick Cook Pork Belly Slices,Pork ribs,Coles,3,1
7393,Pork Spare Ribs,Pork ribs,Coles,3,1
7394,Pork Ribs BBQ,Pork ribs,Coles,3,1
7395,Pork Spare Ribs,Pork ribs,Coles,3,1
7396,Hickory BBQ Pork Ribs,Pork ribs,Beak & Sons,3,1
